"HausgemachterPfannkuchen,Puderzucker,Sauerkirschgelee,1WhiteMousseoder1Wachsbrechbohnensalat","1,6","3,6",5,01.08.2022,False
mensaVital:AsiatischeGemüsepfannemitTofuundDuftreis,"2,7","4,7","6,1",01.08.2022,True
Aktionstheke:RedLove-MexikoTofuBurger,"3,6","5,6",7,01.08.2022,False
mensaVital:PutengeschnetzeltesinCurrysoßemitgebratenemGemüseundBandnudeln,"4,1","6,1","7,5",01.08.2022,False
"mensaVital:Linsen-Kartoffel-Kokos-Pfanne,dazueinenBlattsalatmitHimbeervinaigrette","1,85","3,85","5,25",02.08.2022,False
"NudelpfannemitKirschtomaten,RucolaundHirtenkäsewürfel,1NussNougat-Pudding","2,4","4,4","5,8",02.08.2022,False
Aktionstheke:Black-BurgermitFalafelmitErbsen-MinzDip,"3,6","5,6",7,02.08.2022,False
"XXLSchnitzelvomSchwein,Zitronenecke,Pommesfritesrot/weissmitKetchupausErfurt","4,5","6,5","7,9",02.08.2022,False
mensaVital:TagliatellemitLauch-Sojarahm-SoßeundgehacktenWalnüssen,"1,85","3,85","5,25",03.08.2022,True
"ReinpflanzlichePaprikaschote,Tomatensoße,PetersilienkartoffelnoderWildreis","2,4","4,4","5,8",03.08.2022,True
Aktionstheke:RedLove-MexikoTofuBurger,"3,6","5,6",7,03.08.2022,False
"SeelachsfiletinKnusperpanadeKräuterKäse,Senfsoße,Kräuterkartoffeln,1Kirsch-Amaretto-Quarkspeiseoder1Eisbergsalat","4,5","6,5","7,9",03.08.2022,False
mensaVital:GnocchipfannemitbuntemGemüsemitital.Hartkäse,"1,85","3,85","5,25",04.08.2022,False
"mensaVital:Brokkoli,BlumenkohlundKartoffelnmitGorgonzolagratiniert,dazuroterLinsensalat","2,4","4,4","5,8",04.08.2022,False
"Jagdwurstschnitzel,Tomatensoße,Nudeln,1Apfelmus","3,6","5,6",7,04.08.2022,False
Aktionstheke:Black-BurgermitFalafelmitErbsen-MinzDip,"3,6","5,6",7,04.08.2022,False
"mensaVital:SüßkartoffelcurrymitKichererbsenundBlattspinat,Duftreis","1,6","3,6",5,05.08.2022,True
"Tomaten-Schnittlauch-Omelett,Spinatsoße,StampfkartoffelnoderPetersilienkartoffeln,1RoteBeteSalatoder1AnanasKompott","2,4","4,4","5,8",05.08.2022,False
"HähncheninHartkäsekruste,Geflügelsoße,Fingermöhrengemüse,MakkaroniausDermbach","3,1","5,1","6,5",05.08.2022,False
Aktionstheke:RedLove-MexikoTofuBurger,"3,6","5,6",7,05.08.2022,False
"mensaVital:Vollkornspaghetti,BolognesevonrotenLinsen,reinpflanzlicherReibekäse","1,6","3,6",5,08.08.2022,False
"Austernpilz-SojasahnesoßemitReibekuchen,1Garten-Mix-Salat","2,4","4,4","5,8",08.08.2022,True
"SchweineschnitzelToscana-Art,Schweinebratensoße,tomatierterGemüsereis,1ButtermilchdrinkLimette","3,6","5,6",7,08.08.2022,False
"Aktionstheke:FrischesWokgemüse,ThaiChiliSoßeundDuftreis","3,6","5,6",7,08.08.2022,True
"Linsen-Bobotie,SüdafrikanischerAuflauf,Brokkoligemüse,Duftreis","2,1","4,1","5,5",09.08.2022,True
mensaVital:GriechischerGemüseauflaufmitHirtenkäse,"2,7","4,7","6,1",09.08.2022,False
"Schweineschnitzel,Letschogemüsesoße,Pommesfrites","3,6","5,6",7,09.08.2022,False
Aktionstheke:RoteBeteSpaghettimitgeröstetenPinienkernenanRucola-Frischkäsesoße,"4,1","6,1","7,5",09.08.2022,False
"mensaVital:Kichererbsen-Tomaten-Eintopf,1ScheibeMehrkornbrot","1,85","3,85","5,25",10.08.2022,True
"Brokkoli-NußeckeaufGemüse-Bulgur,Kräuter-Schmand-Dip","2,1","4,1","5,5",10.08.2022,False
"ChickenCrossis,süß-saureSoße,Pommesfrites,1QuarkspeiseSchokooder1Chinakohlsalat","3,6","5,6",7,10.08.2022,False
"Aktionstheke:FrischesWokgemüse,ThaiChiliSoßeundDuftreis","3,6","5,6",7,10.08.2022,True
"Bauernfrühstück,Gewürzgurke,1Gurkensalat","2,1","4,1","5,5",11.08.2022,False
"Senfsoße,zweigekochteEier,Petersilienkartoffeln,1Mandarinenkompott","2,7","4,7","6,1",11.08.2022,False
"mensaVital:SzegedinerTofugulaschmitKräuterkartoffeln,1Apfel","2,7","4,7","6,1",11.08.2022,True
Aktionstheke:RoteBeteSpaghettimitgeröstetenPinienkernenanRucola-Frischkäsesoße,"4,1","6,1","7,5",11.08.2022,False
mensaVital:GemüsepaellamitVollkornreisundWalnüssen,"1,85","3,85","5,25",12.08.2022,True
"Sesam-Karotten-KnuspersticksmitKräuterquarkundBratkartoffeln,1RoteBeteSalatoder1Mandarinenkompott","3,6","5,6",7,12.08.2022,False
"SeelachsfiletOrlyimBierteig,Tomatensoße,Kräuterreis","3,6","5,6",7,12.08.2022,False
"Aktionstheke:FrischesWokgemüse,ThaiChiliSoßeundDuftreis","3,6","5,6",7,12.08.2022,True
"mensaVital:Kartoffel-ErbseneintopfinSojarahmmitKorianderundMinze,Vollkornbrot","1,85","3,85","5,25",15.08.2022,True
"ZweigekochteEier,Spinat,Butterkartoffeln,1Schoko-Joghurtoder1ChinakohlsalatmitMandel","2,4","4,4","5,8",15.08.2022,False
Aktionstheke:FrischesWokgemüsemitTeriyakiSauceanMieNudeln,"3,6","5,6",7,15.08.2022,True
mensaInternational-Kolumbien:gebrateneHähnchenbrustmitBananensoßeanReisplätzchen,"4,1","6,1","7,5",15.08.2022,False
"VierEierkuchenmitApfelmus,Zucker&Zimt","1,6","3,6",5,16.08.2022,False
Aktionstheke:GeschwenkteSüßkartoffeleckenmitAvocado-Dip,"2,1","4,1","5,5",16.08.2022,False
"mensaVital:TagliatellemitRucola-Nusspesto,GrilltomateundGurkensalat","3,1","5,1","6,5",16.08.2022,True
"ÜberbackenerWrap,gefülltmitPutenstreifenausGönnatal,anSourCreme,1Erdbeerquark","4,5","6,5","7,9",16.08.2022,False
mensaVital:MediterranesSojageschnetzeltesmitReiskornnudeln,"1,6","3,6",5,17.08.2022,True
"Champignonrahm,KloßpommesausHeichelheim","2,4","4,4","5,8",17.08.2022,True
Aktionstheke:FrischesWokgemüsemitTeriyakiSauceanMieNudeln,"3,6","5,6",7,17.08.2022,True
"Seelachsnuggets,Remouladensoße,Petersilienkartoffeln,1Mohnjoghurtoder1grünerSalatmitKräutern","4,5","6,5","7,9",17.08.2022,False
"SpaghettimitAvocado-Pesto,1Apfelkompottoder1Orangen-Fenchelsalat","2,1","4,1","5,5",18.08.2022,False
Aktionstheke:GeschwenkteSüßkartoffeleckenmitAvocado-Dip,"2,1","4,1","5,5",18.08.2022,False
"ZweiQuinoa-Erbsen-Frikadellen,Kräutersoße,Kartoffeln","2,4","4,4","5,8",18.08.2022,False
"mensaVital:MediterranesHähnchengeschnetzeltes,Kurkumareis,Mandelromanesco","2,7","4,7","6,1",18.08.2022,False
"mensaVital:VollkornspaghettimitGrünkern-Gemüsebolognese,dazuZucchini-Apfel-Salat","1,6","3,6",5,19.08.2022,True
"Hering""Hausfrauen-Art"",Butterkartoffeln","2,7","4,7","6,1",19.08.2022,False
Aktionstheke:FrischesWokgemüsemitTeriyakiSauceanMieNudeln,"3,6","5,6",7,19.08.2022,True
"GebackeneSüßkartoffelmitGrillgemüse,Kräuterquarkdip,1LatteMacchiatoPudding","4,1","6,1","7,5",19.08.2022,False
mensaVital:PennemitBohnen-Tomaten-Ragout,"1,6","3,6",5,22.08.2022,True
Tempeh-GlasnudelpfannemitAsia-Gemüse,"3,1","5,1","6,5",22.08.2022,True
Aktionstheke:Yellow-BurgermitQuinoa-Chili-PattymitErbsen-MinzDip,"3,6","5,6",7,22.08.2022,False
"HähnchenCordonbleumitPutenschinken,Bratensoße,PommesfritesoderPetersilienkartoffeln,1grünerBlattsalatoder1roteGrütze","4,1","6,1","7,5",22.08.2022,False
VollkornspaghettimitfeinemGemüseinKräuterrahm,"1,6","3,6",5,23.08.2022,False
"mensaVital:TofuinSesam-TempuraaufTomaten-Gemüsesugo,Vollkornspiralen,1bunterSalat","2,1","4,1","5,5",23.08.2022,True
Aktionstheke:Pumpkin-Veggie-Burgermit2RoteBeetePufferundMeerrettich,"4,1","6,1","7,5",23.08.2022,False
"Seelachsfilet""Lemon-Basilikum""aufRatatouille,Curryreis,1Karamelpudding","4,5","6,5","7,9",23.08.2022,False
"mensaVital:VollkornNudeln,BolognesevonrotenLinsen,reinpflanzlicherReibekäse","1,6","3,6",5,24.08.2022,True
"RöstimitIngwer-Blattspinat,Cocktailtomaten&Hirtenkäsegratiniert,1FruchtjoghurtKirschoder1Chinakohlsalat","2,4","4,4","5,8",24.08.2022,False
"LeberkäsemitKräuterrührei,Bratkartoffeln","3,1","5,1","6,5",24.08.2022,False
Aktionstheke:Yellow-BurgermitQuinoa-Chili-PattymitErbsen-MinzDip,"3,6","5,6",7,24.08.2022,False
"GermknödelmitSchokofüllung,Sauerkirschsoße,SoßemitVanilleGeschmack","1,6","3,6",5,25.08.2022,False
"mensaRegional:HausgemachteLasagne,BolognesevonderPuteausAltengönna,2ÄpfelausGierstädt","3,1","5,1","6,5",25.08.2022,False
"SiebenFalafelmitKnoblauchdip,Tomatenreis,Krautvariation","3,1","5,1","6,5",25.08.2022,True
Aktionstheke:Pumpkin-Veggie-Burgermit2RoteBeetePufferundMeerrettich,"4,1","6,1","7,5",25.08.2022,False
"VollkornSpaghetti,BolognesevonrotenLinsen,reinpflanzlicherReibekäse,1Krautsalat","1,6","3,6",5,26.08.2022,True
"mensaVital:SchweinerückensteakmitTomatenundMozzarellaüberbacken,dazueinSpargel-Fenchel-Bärlauch-Risotto","3,6","5,6",7,26.08.2022,False
"Grünkern-KäseMedaillon,Kräuterkäsesoße,Petersilienkartoffeln,1Kirsch-Dessert","3,6","5,6",7,26.08.2022,False
